product_id,product_title,rating,summary,review,location,date,upvotes,downvotes
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,5,Super!,Super bass good quality excellent 👍 very good battery🔋 pickup thanks u flipkart 😊😊,Ernakulam District,"Oct, 2021",2635,633
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,5,Awesome,Product is so good. Quality is very good . I really like this and suggest to other. The brand not matters but quality is the main base . Thanks flipkart for this. COD is also available for this.,Nagaur District,"Aug, 2021",2497,685
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,5,Mind-blowing purchase,This is really a very good neckband and it gives very nice battery backup and it has very nice sound quality and bass and the best part is that it's charging speed it is super fast.,Patna,"Aug, 2021",2117,586
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,1,Useless product,My product delivered is 18/02/2022And Return policy date is 25/02/2022And today is 27/02/2022This Bluetooth is one speaker not workAnd one speaker is work left speakerIs work and right speaker is not workSo not perches this product,Sayan,"Feb, 2022",241,73
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,1,Horrible,"Delivered on 18 dec 21. I am posting this on 1 jan 2022 after my product is not working. The on/off button not working. Device is not connecting with mobile. Seems like it's stopped working. The led is still blinking. I only got 13 days to use it. 14th day it's stopped working. Now I am unable to return it since the return period is over. I saw someone says brand doesn't matter just go for it. But now I realise, brand does matter. I recommend to spend some more money and buy a brand",Palakkad District,"Jan, 2022",674,268
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,5,Must buy!,"Sound quality is really very good with good bass effect and design also is good,battery work  for 4-5 days ,one of my friend suggest me for this product it’s really very good at this price ,thanks Flipkart for such a lovely product",Mumbai,"May, 2021",803,362
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,5,Worth every penny,I really love this earphones it fits perfectly in my ears and doesn't fall off even when I'm working out. The sound quality is amazing and for such reasonable rate it's perfect!,Lucknow,"Jan, 2022",121,60
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,5,Worth every penny,Here Are The 7 Major Points Which I Noticed 🖐🏻😇1) Magnetic Adsorption Is Not Working Properly But It's Not A Major Problem 😇2) Sound Quality Is So Good 🥶3) Very Loud And Clear Sound 😊4) Battery Backup Is Outstanding 😍5) CALLING Quality Is Decent 🥲6) Bluetooth Connectivity Is Very Fast 😳7) You'll Get 3Month Gaana Subscription 🤩Overall Very Good Product In This Price 🤩Go For It ❤️ Highly Recommend,Bhangar Raghunathpur,10 months ago,46,7
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,5,Great product,Very very nice product I suggested by all friends by purchase super se bhi upar good good good 40 hours battery life good quality sound charge very fast charging Lamba duration time Ab To 3-4 days live time I love it super product,Chandauli District,"Aug, 2021",82,22
ACCG2TC8SURNPZAA,Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset,4,Very Good,"It's amazing product.. good sound  and superb battery backup. I buy, and use for  this net band in 1month, for now. it's  fantastic. But this  power light was brightening  every time. I love this thank u Flipkart",Thiruvananthapuram,3 months ago,58,18
